product,category,electricity,water,gas,component_1,manu_year_1,mass_kg_1,no_uses_1,biogenic_1,manu_loc_1,debark_port_1,depart_loc_uk_1,reprocessing_1,recycle_1,incinerate_1,landfill_1,component_2,manu_year_2,mass_kg_2,no_uses_2,biogenic_2,manu_loc_2,debark_port_2,depart_loc_uk_2,reprocessing_2,recycle_2,incinerate_2,landfill_2,component_3,manu_year_3,mass_kg_3,no_uses_3,biogenic_3,manu_loc_3,debark_port_3,depart_loc_uk_3,reprocessing_3,recycle_3,incinerate_3,landfill_3,component_4,manu_year_4,mass_kg_4,no_uses_4,biogenic_4,manu_loc_4,debark_port_4,depart_loc_uk_4,reprocessing_4,recycle_4,incinerate_4,landfill_4,component_5,manu_year_5,mass_kg_5,no_uses_5,biogenic_5,manu_loc_5,debark_port_5,depart_loc_uk_5,reprocessing_5,recycle_5,incinerate_5,landfill_5,component_6,manu_year_6,mass_kg_6,no_uses_6,biogenic_6,manu_loc_6,debark_port_6,depart_loc_uk_6,reprocessing_6,recycle_6,incinerate_6,landfill_6
red drawing up needle (gent),anaesthesia drugs,0,0,0,ldpe,2022,0.0016,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.0006,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.00023,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00011,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.00183,1,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.0006,1,0,shanghai (china),0,0,0,0,0,0
metoclopramide (10mg) po,anaesthesia drugs,0,0,0,metoclopramide highint,2022,1e-05,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.002,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,aluminium,2022,0.0001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.002,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
"metoclopramide (5mg/ml, 2ml) iv",anaesthesia drugs,0,0,0,metoclopramide highint,2022,5e-06,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,glass,2022,0.0019,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.001,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
red drawing up needle (metoclopramide),anaesthesia drugs,0,0,0,ldpe,2022,0.0016,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.0006,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.00023,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00011,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.00183,1,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.0006,1,0,shanghai (china),0,0,0,0,0,0
2ml syringe for neat (metoclopramide),anaesthesia drugs,0,0,0,polypropylene,2022,0.0021,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0021,1,0,shanghai (china),0,0,0,0,0,0,ldpe,2022,0.0008,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.0003,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.0008,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.0009599999999999,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0
midazolam (2mg/2ml) glass vial,anaesthesia drugs,0,0,0,madazolam,2022,2e-06,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,glass,2022,0.0019,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.001,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
red drawing up needle (midazolam),anaesthesia drugs,0,0,0,ldpe,2022,0.0016,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.0006,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.00023,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00011,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.00183,1,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.0006,1,0,shanghai (china),0,0,0,0,0,0
2ml syringe for neat (midazolam),anaesthesia drugs,0,0,0,polypropylene,2022,0.0021,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0021,1,0,shanghai (china),0,0,0,0,0,0,ldpe,2022,0.0008,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.0003,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.0008,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.0009599999999999,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0
oramorph (10mg/5ml),anaesthesia drugs,0,0,0,oramorph,2022,1e-05,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,glass,2022,0.01,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.002,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.002,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
oramorph syringe,anaesthesia drugs,0,0,0,polypropylene,2022,0.0063,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0063,1,0,shanghai (china),0,0,0,0,0,0,ldpe,2022,0.00044,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00038,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.00044,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.002136,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0
ondansetron (4mg) po,anaesthesia drugs,0,0,0,ondansetron,2022,4e-06,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.002,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,aluminium,2022,0.0001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.002,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
"ondansetron (4mg/2ml, 2ml) iv",anaesthesia drugs,0,0,0,ondansetron,2022,4e-06,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,glass,2022,0.0019,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.001,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
red drawing up needle (ondansetron),anaesthesia drugs,0,0,0,ldpe,2022,0.0016,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.0006,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.00023,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00011,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.00183,1,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.0006,1,0,shanghai (china),0,0,0,0,0,0
2ml syringe for neat (ondansetron),anaesthesia drugs,0,0,0,polypropylene,2022,0.0021,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0021,1,0,shanghai (china),0,0,0,0,0,0,ldpe,2022,0.0008,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.0003,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.0008,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.0009599999999999,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0
"propofol (10mg/ml, 20ml) glass vial",anaesthesia drugs,0,0,0,propofol,2022,0.0002,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,glass,2022,0.005,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,cardboard,2022,0.01,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.001,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
red drawing up needle (propofol),anaesthesia drugs,0,0,0,ldpe,2022,0.0016,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.0006,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.00023,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00011,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.00183,1,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.0006,1,0,shanghai (china),0,0,0,0,0,0
20ml syringe for neat (propofol),anaesthesia drugs,0,0,0,polypropylene,2022,0.0122,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0122,1,0,shanghai (china),0,0,0,0,0,0,ldpe,2022,0.00077,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00052,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.00077,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.004047,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0
tramadol (100mg/2ml),anaesthesia drugs,0,0,0,tramadol highint,2022,0.0001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,glass,2022,0.0019,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.001,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
red drawing up needle (tramadol),anaesthesia drugs,0,0,0,ldpe,2022,0.0016,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.0006,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.00023,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00011,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.00183,1,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.0006,1,0,shanghai (china),0,0,0,0,0,0
2ml syringe for neat (tramadol),anaesthesia drugs,0,0,0,polypropylene,2022,0.0021,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0021,1,0,shanghai (china),0,0,0,0,0,0,ldpe,2022,0.0008,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.0003,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.0008,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.0009599999999999,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0
magnesium (5g/10ml) vial,anaesthesia drugs,0,0,0,magnesium highint,2022,0.005,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,glass,2022,0.0038,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.001,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
magnesium syringe (10ml),anaesthesia drugs,0,0,0,polypropylene,2022,0.0063,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0063,1,0,shanghai (china),0,0,0,0,0,0,ldpe,2022,0.00044,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00038,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.00044,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.002136,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0
red drawing up needle (magnesium),anaesthesia drugs,0,0,0,ldpe,2022,0.0016,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.0006,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.00023,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00011,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.00183,1,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.0006,1,0,shanghai (china),0,0,0,0,0,0
saline for magnesium (10ml),anaesthesia drugs,0,0,0,ldpe,2022,0.0036,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,saline,2022,0.0001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,injection moulding,2022,0.0036,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.0011099999999999,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
metaraminol infusion (10mg/ml) 1ml vial,anaesthesia drugs,0,0,0,metaraminol highint,2022,1e-05,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,glass,2022,0.0019,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.001,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
20ml syringe,anaesthesia drugs,0,0,0,polypropylene,2022,0.0122,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0122,1,0,shanghai (china),0,0,0,0,0,0,ldpe,2022,0.00077,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00052,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.00077,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.004047,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0
10ml syringe (metaraminol),anaesthesia drugs,0,0,0,polypropylene,2022,0.0063,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0063,1,0,shanghai (china),0,0,0,0,0,0,ldpe,2022,0.00044,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00038,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.00044,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.002136,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0
10ml saline for metaraminol,anaesthesia drugs,0,0,0,ldpe,2022,0.0036,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,saline,2022,0.0001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,injection moulding,2022,0.0036,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.0011099999999999,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
drawing up filter needle (metaraminol),anaesthesia drugs,0,0,0,ldpe,2022,0.0016,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.0006,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.00023,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00011,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.00183,1,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.0006,1,0,shanghai (china),0,0,0,0,0,0
"ketamine (50mg/ml, 10ml)",anaesthesia drugs,0,0,0,ketamine,2022,0.0005,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,glass,2022,0.0038,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.001,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
red drawing up needle (ketamine),anaesthesia drugs,0,0,0,ldpe,2022,0.0016,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.0006,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.00023,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00011,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.00183,1,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.0006,1,0,shanghai (china),0,0,0,0,0,0
10ml syringe (ketamine),anaesthesia drugs,0,0,0,polypropylene,2022,0.0063,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0063,1,0,shanghai (china),0,0,0,0,0,0,ldpe,2022,0.00044,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00038,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.00044,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.002136,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0
10ml saline for dilution (ketamine),anaesthesia drugs,0,0,0,ldpe,2022,0.0036,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,saline,2022,0.0001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,injection moulding,2022,0.0036,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.0011099999999999,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
10ml saline for fentanyl,anaesthesia drugs,0,0,0,ldpe,2022,0.0036,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,saline,2022,0.0001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,injection moulding,2022,0.0036,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.0011099999999999,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
blue drawing up needle,anaesthesia drugs,0,0,0,ldpe,2022,0.0025,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.0002,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.0027,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00029,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0052,1,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.0002,1,0,shanghai (china),0,0,0,0,0,0
red non-filter needle,anaesthesia drugs,0,0,0,ldpe,2022,0.0016,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.0006,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.00023,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00011,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.00183,1,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.0006,1,0,shanghai (china),0,0,0,0,0,0
"morphine (10mg/ml, 1ml)",anaesthesia drugs,0,0,0,morphine,2022,1e-05,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,glass,2022,0.0019,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.001,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
10ml saline for morphine,anaesthesia drugs,0,0,0,ldpe,2022,0.0036,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,saline,2022,0.0001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,injection moulding,2022,0.0036,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.0011099999999999,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
"oxycodone (10mg/2ml, 2ml)",anaesthesia drugs,0,0,0,oxycodone,2022,2e-05,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,glass,2022,0.0019,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.001,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
10ml saline for oxycodone,anaesthesia drugs,0,0,0,ldpe,2022,0.0036,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,saline,2022,0.0001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,injection moulding,2022,0.0036,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.0011099999999999,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
10ml saline for ondansetron,anaesthesia drugs,0,0,0,ldpe,2022,0.0036,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,saline,2022,0.0001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,injection moulding,2022,0.0036,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.0011099999999999,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
"cyclizine (50mg/ml,1ml)",anaesthesia drugs,0,0,0,cyclizine highint,2022,5e-05,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,glass,2022,0.0019,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.001,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
2ml syringe for drawing up cyclizine,anaesthesia drugs,0,0,0,polypropylene,2022,0.0021,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0021,1,0,shanghai (china),0,0,0,0,0,0,ldpe,2022,0.0008,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.0003,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.0008,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.0009599999999999,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0
100ml saline for cyclizine,anaesthesia drugs,0,0,0,ldpe,2022,0.0036,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,saline,2022,0.0001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,injection moulding,2022,0.0036,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.0011099999999999,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
"hyoscine butylbromide (20mg/ml, 1ml)",anaesthesia drugs,0,0,0,hyoscine highint,2022,2e-05,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,glass,2022,0.0019,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.001,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
10ml saline for buscopan,anaesthesia drugs,0,0,0,ldpe,2022,0.0036,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,saline,2022,0.0001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,injection moulding,2022,0.0036,1,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.0011099999999999,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
buscopan 20mg tablets,anaesthesia drugs,0,0,0,buscopan highint,2022,2e-05,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.002,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,aluminium,2022,0.0001,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.002,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
oramorph (10mg/5ml) po,anaesthesia drugs,0,0,0,oramorph,2022,1e-05,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,glass,2022,0.01,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.002,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.002,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
oxycodone (5mg/5ml) po,anaesthesia drugs,0,0,0,oramorph,2022,5e-06,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,glass,2022,0.01,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,cardboard,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.002,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.002,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
